,index,y,x,date,label,sample_id
197,745,-1.706439192,30.53955484,2021-04-14,0.0,547702700
151,267,-2.025843368,29.06815173,2021-04-13,0.0,543847756
316,166,-2.231025478,29.43685591,2021-04-13,1.0,543847573
153,732,-1.443101795,30.59299685,2021-03-08,0.0,540568384
322,1120,-2.759731636,29.85055793,2021-04-16,1.0,547811375
245,504,-1.812734062,30.11974427,2021-04-15,1.0,547799942
324,841,-2.916092695,29.17036451,2021-04-15,1.0,547807162
177,696,-1.344691081,28.48567952,2021-04-15,0.0,547800305
306,848,-1.605167044,28.79896539,2021-03-09,1.0,540573320
97,916,-3.018168435,30.74236343,2021-03-09,0.0,540573399
14,693,-2.706888804,30.01268059,2021-04-14,0.0,547702599
69,258,-1.865968964,28.909802,2021-04-14,0.0,547702440
68,341,-2.599401491,29.06815173,2021-04-13,0.0,544092835
350,616,-1.657689438,28.85222774,2021-03-08,1.0,540532921
39,252,-2.285682642,29.06401948,2021-04-14,0.0,547702432
169,690,-1.290544741,31.00939382,2021-03-08,0.0,540566274
101,794,-1.871355989,30.9073607,2021-04-14,0.0,547702758
33,826,-2.339978699,28.48460154,2021-04-14,0.0,547702792
57,511,-1.917047505,29.90741354,2021-04-14,0.0,547702252
260,81,-2.914118959,29.90382028,2021-03-06,1.0,540532388
211,750,-1.024467216,28.69711193,2021-03-08,0.0,540568402
117,144,-1.02464685,30.43123352,2021-04-13,0.0,543847593
118,546,-2.233538852,29.06922971,2021-04-15,0.0,547799984
137,878,-1.496167016,29.48095544,2021-04-14,0.0,547702844
186,381,-1.761293378,28.48406255,2021-04-13,0.0,544092875
263,284,-2.54798769,29.01111646,2021-04-13,1.0,543847774
196,145,-2.391221044,29.06455847,2021-04-13,0.0,543847547
278,1095,-1.500477455,28.79824674,2021-04-15,1.0,547800132
305,777,-3.018527263,29.22236922,2021-03-09,1.0,540573249
120,164,-2.553372241,30.95379585,2021-04-13,0.0,543847622
92,402,-1.554439271,29.01201478,2021-04-15,0.0,547799840
312,1095,-1.240528534,30.17228797,2021-04-16,1.0,547811350
116,692,-1.290544741,31.00939382,2021-04-14,0.0,547702601
242,274,-0.82060718,30.38210342,2021-04-13,1.0,543847764
217,917,-1.447232731,29.01039781,2021-04-15,0.0,547809129
89,1036,-1.65481603,29.27455359,2021-04-15,0.0,547799829
107,753,-1.024467216,28.69711193,2021-04-14,0.0,547702710
275,640,-2.650454255,29.69472348,2021-04-15,1.0,547800191
102,892,-2.394452159,28.85528201,2021-04-15,0.0,547809103
75,604,-0.925143434,28.59364151,2021-04-15,0.0,547800095
31,320,-2.023509206,28.85061077,2021-04-14,0.0,547702615
58,405,-1.289826271,30.11363573,2021-04-13,0.0,544092899
17,282,-2.391221044,30.9579281,2021-04-14,0.0,547702503
179,707,-1.290185506,30.693413,2021-04-14,0.0,547702658
326,1160,-2.762243999,28.69711193,2021-04-16,1.0,547811415
304,96,-2.234256958,29.01399107,2021-04-13,1.0,543847459
313,974,-1.290365124,29.11638351,2021-04-15,1.0,547809187
3,340,-2.599401491,29.06815173,2021-03-07,0.0,540532644
239,645,-2.023509206,30.63979133,2021-04-14,1.0,547702505
167,46,-1.601754783,28.59166522,2021-04-13,0.0,543840019
291,522,-2.395708702,29.80178716,2021-04-14,1.0,547702266
277,1136,-1.65840779,29.48652499,2021-04-16,1.0,547811391
30,874,-1.761832112,28.48747615,2021-04-14,0.0,547702840
353,1051,-1.604628266,29.53835004,2021-04-16,1.0,547811306
330,820,-2.230666424,30.48000429,2021-04-15,1.0,547800490
110,203,-3.022833185,28.80507393,2021-04-14,0.0,547702314
28,1019,-1.501016259,30.48539418,2021-04-16,0.0,547811274
344,562,-2.968387698,30.5397345,2021-03-08,1.0,540532867
173,177,-2.810418757,30.58688831,2021-04-14,0.0,547702281
72,656,-2.758834362,29.17036451,2021-04-14,0.0,547702531
164,325,-1.182607902,28.75109293,2021-04-14,0.0,547702627
248,663,-2.814725476,29.00914017,2021-04-15,1.0,547800232
65,324,-1.92045919,28.53642658,2021-04-13,0.0,543847818
90,343,-1.185481897,28.64546656,2021-04-14,0.0,547702645
46,257,-2.868101781,28.43726807,2021-04-13,0.0,543847725
340,210,-1.290544741,29.16784923,2021-04-13,1.0,543847676
221,241,-2.231025478,28.85114976,2021-04-13,0.0,543847707
130,951,-2.396426726,30.21818413,2021-04-14,0.0,547703014
244,1166,-2.606221643,29.58604283,2021-04-16,1.0,547811421
237,319,-1.549051356,29.37928165,2021-04-13,1.0,543847813
79,946,-1.235858385,29.6950828,2021-03-09,0.0,540573834
286,74,-1.128997141,29.69562179,2021-03-06,1.0,540531579
42,424,-1.812195343,29.48221308,2021-03-07,0.0,540532728
6,364,-2.551038939,28.85510234,2021-04-13,0.0,544092858
21,50,-2.182829473,28.909802,2021-04-13,0.0,543847391
83,733,-1.818659966,30.6428456,2021-04-15,0.0,547800399
175,231,-2.39534969,30.21872312,2021-03-07,0.0,540532536
132,233,-1.811297476,29.06833139,2021-04-14,0.0,547702385
159,285,-0.917957841,29.0143504,2021-04-14,0.0,547702508
288,210,-1.290544741,29.16784923,2021-04-14,1.0,547702327
93,789,-2.546013349,29.11979711,2021-04-14,0.0,547702751
331,1125,-2.390503017,28.80273831,2021-04-16,1.0,547811380
35,286,-1.082570639,30.64338459,2021-04-14,0.0,547702511
195,719,-0.819529312,29.58837845,2021-04-15,0.0,547800385
235,1061,-2.655658899,30.69269435,2021-04-16,1.0,547811316
184,1080,-1.026083925,31.01280742,2021-04-15,0.0,547800096
213,306,-2.449102953,28.69657295,2021-04-14,0.0,547702588
347,499,-2.916989847,29.27814685,2021-04-15,1.0,547799937
27,328,-1.656971087,28.53858254,2021-04-13,0.0,543847822
124,786,-2.546013349,29.11979711,2021-03-09,0.0,540573258
203,364,-1.03111368,29.48400971,2021-03-07,0.0,540532668
85,289,-0.815756772,30.95936541,2021-04-14,0.0,547702519
25,803,-1.449387999,28.43852571,2021-03-09,0.0,540573275
189,183,-2.757757633,30.74613636,2021-04-14,0.0,547702291
128,5,-1.18638002,28.53930119,2021-03-06,0.0,540531510
214,201,-1.868662479,30.90197081,2021-04-13,0.0,543847645
200,543,-1.712365434,30.69664694,2021-04-14,0.0,547702393
223,1116,-2.392298083,29.11871913,2021-03-09,0.0,540574003
194,186,-1.917765755,29.22578282,2021-04-14,0.0,547702294
349,965,-2.601375749,29.85630715,2021-04-15,1.0,547809178
238,232,-2.39534969,30.21872312,2021-04-13,1.0,543847692
224,784,-2.073146554,29.85343254,2021-03-09,0.0,540573256
185,1021,-1.239630429,29.2180573,2021-04-15,0.0,547799813
78,501,-2.553551726,29.2214709,2021-03-08,0.0,540532805
232,742,-2.026561571,28.9603694,2021-04-14,0.0,547702696
241,17,-1.024467216,30.79993769,2021-03-06,1.0,540531522
125,1057,-0.868474434,30.63853369,2021-04-15,0.0,547800012
212,2,-1.759318017,28.53732489,2021-03-06,0.0,540531507
188,408,-2.973770345,28.85348538,2021-04-13,0.0,544126002
2,470,-2.077276094,28.4833439,2021-04-14,0.0,547702204
251,1034,-2.651351609,28.95605748,2021-04-16,1.0,547811289
62,159,-2.860744799,28.59184488,2021-04-13,0.0,543847614
152,195,-0.819888602,29.01632669,2021-04-13,0.0,543847635
180,697,-2.341055778,30.32830208,2021-04-14,0.0,547702609
86,749,-1.550667732,30.85320004,2021-04-14,0.0,547702708
4,869,-1.81093833,28.85204807,2021-03-09,0.0,540573341
91,527,-0.820427536,29.38395289,2021-04-14,0.0,547702271
339,1090,-1.974049896,30.21926211,2021-04-16,1.0,547811345
41,101,-1.07790023,29.48239274,2021-04-13,0.0,543847486
16,1065,-1.970279206,28.64510723,2021-04-16,0.0,547811320
150,856,-1.182787527,30.5922782,2021-03-09,0.0,540573328
227,781,-1.813452355,29.59376834,2021-03-09,0.0,540573253
163,1071,-0.813421389,29.43020838,2021-04-15,0.0,547800061
19,936,-1.501734665,29.22686079,2021-03-09,0.0,540573825
74,604,-0.978039156,29.64182046,2021-04-14,0.0,547702429
246,482,-2.392657096,29.59466666,2021-04-14,1.0,547702217
258,445,-1.869021614,29.4879623,2021-04-15,1.0,547799883
51,235,-2.970361338,30.1152527,2021-03-07,0.0,540532540
266,463,-1.232625201,30.4843162,2021-04-14,1.0,547702197
88,641,-1.390214946,29.324582,2021-04-14,0.0,547702510
343,1074,-0.978578067,29.16982552,2021-04-15,1.0,547800077
346,298,-2.448025959,30.85481701,2021-04-14,1.0,547702538
170,784,-1.813452355,29.59376834,2021-04-14,0.0,547702753
252,989,-0.974446417,29.0089605,2021-03-09,1.0,540573877
166,1155,-1.495269007,28.69351867,2021-04-15,0.0,547800295
267,90,-2.125295899,30.69431132,2021-03-06,1.0,540532396
161,567,-2.129245762,30.16653875,2021-04-15,0.0,547800045
337,373,-2.289991119,29.80340413,2021-04-15,1.0,547799786
210,618,-1.763807471,30.90502508,2021-03-08,0.0,540532923
146,880,-2.0805079,28.74588271,2021-04-14,0.0,547702846
119,726,-2.021534144,28.96216603,2021-04-14,0.0,547702678
293,822,-2.027279773,29.95887926,2021-03-09,1.0,540573294
342,1104,-0.918856041,29.4845487,2021-04-16,1.0,547811359
290,201,-1.868662479,30.90197081,2021-03-07,1.0,540532506
229,506,-1.813093208,30.21836379,2021-04-14,0.0,547702242
113,360,-1.869380749,29.38395289,2021-03-07,0.0,540532664
36,996,-2.126014057,29.95923858,2021-04-14,0.0,547703260
280,993,-2.126014057,29.95923858,2021-04-16,1.0,547811232
183,173,-1.552643301,29.01129612,2021-04-13,0.0,543847636
10,18,-2.286221202,30.59263752,2021-04-13,0.0,543847345
38,378,-0.866678009,29.42984905,2021-04-15,0.0,547799791
192,161,-0.92083208,28.80237899,2021-03-07,0.0,540532466
99,297,-2.76314127,30.58598999,2021-03-07,0.0,540532601
276,173,-1.552643301,29.01129612,2021-04-13,1.0,543847582
32,1048,-2.653864197,29.95492667,2021-04-16,0.0,547811303
15,817,-1.499220245,29.48868095,2021-03-09,0.0,540573289
176,227,-2.553551726,30.74290242,2021-04-14,0.0,547702377
73,318,-2.70886289,29.48293173,2021-04-13,0.0,543847812
351,250,-1.345229921,30.74649568,2021-03-07,1.0,540532555
297,1014,-1.130434166,29.96211319,2021-04-16,1.0,547811253
22,1061,-0.866318724,30.32470882,2021-04-15,0.0,547800016
327,1056,-1.657150675,29.64631203,2021-04-16,1.0,547811311
317,1092,-1.500477455,28.79824674,2021-04-16,1.0,547811347
236,442,-1.393088707,30.37851016,2021-04-14,1.0,547702176
66,59,-1.393807147,30.63871335,2021-04-13,0.0,543841452
209,420,-0.764116303,30.26964985,2021-04-15,0.0,547799858
53,671,-2.703837936,30.74829231,2021-04-14,0.0,547702556
5,396,-3.019424331,31.00741753,2021-03-07,0.0,540532700
240,622,-2.760628909,29.48239274,2021-04-14,1.0,547702465
202,344,-2.077096549,29.22434551,2021-03-07,0.0,540532648
140,976,-1.447053125,30.16384381,2021-04-14,0.0,547703039
206,398,-1.024826485,30.53578192,2021-04-15,0.0,547799836
49,188,-1.393088707,30.801375,2021-04-14,0.0,547702296
80,400,-2.129784379,29.37640704,2021-03-07,0.0,540532704
103,1168,-2.391041537,29.2200336,2021-03-09,0.0,540574054
127,843,-1.498501838,29.90849152,2021-04-15,0.0,547807214
228,846,-0.816654996,30.58760696,2021-03-09,0.0,540573318
301,842,-1.548512563,29.54050599,2021-04-14,1.0,547702808
233,147,-2.867742905,28.7527099,2021-04-13,1.0,543847549
37,984,-2.027638874,29.79999053,2021-04-16,0.0,547811223
70,1122,-1.442562977,28.90513076,2021-04-15,0.0,547800184
298,1118,-2.706350416,29.43416096,2021-04-15,1.0,547800175
76,627,-1.973870339,28.85474302,2021-04-15,0.0,547800145
292,1090,-1.974049896,30.21926211,2021-03-09,1.0,540573977
289,172,-1.392190657,30.22213672,2021-04-13,1.0,543847633
262,938,-2.756501447,28.64510723,2021-04-15,1.0,547809150
243,404,-1.289826271,30.11363573,2021-04-15,1.0,547799842
156,320,-2.023509206,28.85061077,2021-03-07,0.0,540532624
315,515,-2.178341149,30.11938495,2021-03-08,1.0,540532820
43,804,-1.232445579,29.37640704,2021-04-15,0.0,547800473
144,123,-2.912683512,29.42931006,2021-04-13,0.0,543847520
182,644,-1.863634581,29.85415119,2021-04-14,0.0,547702501
122,641,-1.133847098,28.74911664,2021-04-15,0.0,547800189
48,724,-2.021534144,28.96216603,2021-03-08,0.0,540568376
219,371,-2.497110313,29.17162215,2021-03-07,0.0,540532675
285,651,-2.914118959,30.64122863,2021-03-08,1.0,540540755
138,291,-1.500836658,28.48945244,2021-04-13,0.0,543847795
172,118,-0.812702809,30.74829231,2021-04-13,0.0,543847515
81,687,-0.865959439,29.58694114,2021-04-15,0.0,547800273
0,875,-2.915016112,29.69867607,2021-04-14,0.0,547702841
59,923,-1.65284056,29.4305677,2021-03-09,0.0,540573406
139,11,-1.555157659,30.27018884,2021-04-13,0.0,543839987
160,800,-2.182649941,29.58640215,2021-04-14,0.0,547702764
265,721,-2.917886998,29.16587294,2021-04-15,1.0,547800387
108,516,-1.919202254,29.00985882,2021-04-15,0.0,547799954
320,750,-1.712185851,28.64834116,2021-04-14,1.0,547702706
95,732,-1.291263211,28.64726319,2021-04-14,0.0,547702686
34,595,-0.761601243,28.48657783,2021-04-15,0.0,547800083
64,30,-1.865071125,29.32637863,2021-04-13,0.0,543840004
100,479,-2.23030737,29.96067589,2021-04-14,0.0,547702213
56,1078,-0.816475352,28.80148067,2021-04-15,0.0,547800092
23,1188,-1.286413536,28.43349515,2021-04-16,0.0,547811449
231,572,-0.969955487,29.48580634,2021-03-08,0.0,540532877
52,957,-1.024107947,30.90268946,2021-04-15,0.0,547809170
18,353,-1.862916309,29.32979223,2021-04-14,0.0,547702656
207,1120,-2.705094176,28.59112623,2021-04-15,0.0,547800219
50,497,-0.977679883,30.95936541,2021-04-14,0.0,547702232
24,268,-1.127919372,30.90807936,2021-03-07,0.0,540532572
268,219,-2.285144082,30.05947507,2021-04-14,1.0,547702342
270,980,-0.767349949,30.95217889,2021-03-09,1.0,540573868
345,287,-1.081492853,30.32470882,2021-04-14,1.0,547702513
13,635,-1.082391008,29.9601369,2021-03-08,0.0,540532942
357,1186,-1.810220036,30.11579169,2021-03-09,1.0,540574072
123,882,-2.606401121,29.01381141,2021-03-09,0.0,540573354
247,1133,-2.0805079,29.48580634,2021-04-15,1.0,547800211
334,655,-1.183865275,30.48144159,2021-04-14,1.0,547702530
272,190,-2.96946423,29.21895562,2021-04-14,1.0,547702298
187,571,-3.025524378,29.06617544,2021-03-08,0.0,540532876
255,1194,-2.021354592,29.48634533,2021-03-09,1.0,540574080
259,163,-2.707606654,29.21877596,2021-04-13,1.0,543847620
112,715,-1.343254172,28.59058724,2021-03-08,0.0,540568367
158,510,-1.917047505,29.90741354,2021-03-08,0.0,540532815
126,1091,-1.657689438,30.85499667,2021-03-09,0.0,540573978
302,456,-1.443281401,28.9112393,2021-03-08,1.0,540532760
60,951,-1.081492853,30.58832561,2021-03-09,0.0,540573839
282,717,-1.028059901,30.22177739,2021-04-15,1.0,547800383
45,1171,-3.021397879,29.06168386,2021-04-16,0.0,547811426
300,1126,-2.287118802,28.91105964,2021-04-16,1.0,547811381
230,1025,-2.60514478,28.69836958,2021-03-09,0.0,540573913
106,901,-2.658171478,30.85499667,2021-04-14,0.0,547702867
333,251,-1.026802461,30.42961655,2021-04-14,1.0,547702430
121,713,-0.817014286,30.27090749,2021-04-14,0.0,547702664
318,56,-2.338004052,28.90495109,2021-04-13,1.0,543841449
191,1114,-1.132589702,29.48203342,2021-03-09,0.0,540574001
341,1170,-1.081672484,30.74793299,2021-04-16,1.0,547811425
47,171,-1.75895886,29.74618919,2021-04-13,0.0,543847632
134,415,-1.654456854,29.22506416,2021-04-15,0.0,547799853
82,186,-1.917765755,29.22578282,2021-03-07,0.0,540532491
323,716,-1.970997434,29.74367391,2021-03-08,1.0,540568368
204,485,-1.446693914,29.17054417,2021-04-15,0.0,547799923
131,29,-0.818271799,28.53570793,2021-04-13,0.0,543847356
